Species num,species,treatment,trial,primary,pennulae,barbs frayed,bg noise (dB),bg noise (Pa),avg power (Pa),average power (dB),diff sum of squares (Pa),dB corrected (dB),SPL partial (dB),,,How each column is calculated:,,notes
10,ACWO,2,2,1,2,0,60.1,0.020231589,0.496626621,87.9,0.496214352,87.89278652,46.89278652,,,,,
10,ACWO,3,3,0,2,0,59.2,0.018240217,0.496626621,87.9,0.496291543,87.89413757,46.89413757,,,,,
10,ACWO,3,3,1,2,0,59.8,0.019544744,0.532145012,88.5,0.531785969,88.49413757,47.49413757,,,,,
10,ACWO,2,1,1,2,0,60.1,0.020231589,0.538306961,88.6,0.537926637,88.59386109,47.59386109,,,,,
10,ACWO,2,1,0,2,0,59.7,0.019321018,0.550845741,88.8,0.550506793,88.79465373,47.79465373,,,,,
10,ACWO,2,2,1,2,0,60.4,0.020942571,0.557224234,88.9,0.556830545,88.89386109,47.89386109,,,,,
10,ACWO,3,2,0,2,0,59.2,0.018240217,0.576806301,89.2,0.576517826,89.19565489,48.19565489,,,,,
10,ACWO,2,3,0,2,0,59.7,0.019321018,0.610984223,89.7,0.610678654,89.69565489,48.69565489,,,,,
10,ACWO,2,1,1,2,0,59.6,0.019099852,0.65468139,90.3,0.654402719,90.29630198,49.29630198,,,,,
10,ACWO,2,1,1,2,0,60.4,0.020942571,0.662262243,90.4,0.661931029,90.39565488,49.39565488,,,,,
10,ACWO,2,3,1,2,0,59.5,0.018881218,0.677688312,90.6,0.677425234,90.59662749,49.59662749,,,,,
10,ACWO,2,3,0,2,0,60.1,0.020231589,0.717843869,91.1,0.717558711,91.0965489,50.0965489,,,,,
10,ACWO,2,2,0,2,0,60.1,0.020231589,0.72615611,91.2,0.725874217,91.1966275,50.1966275,,,,,
10,ACWO,2,1,0,2,0,60.1,0.020231589,0.743070458,91.4,0.742794984,91.39677933,50.39677933,,,,,
10,ACWO,2,2,1,2,0,59.6,0.019099852,0.743070458,91.4,0.742824947,91.39712969,50.39712969,,,,,
10,ACWO,2,2,0,2,0,59.7,0.019321018,0.769183564,91.7,0.768940865,91.69725892,50.69725892,,,,,
10,ACWO,2,2,1,2,0,59.5,0.018881218,0.853159038,92.6,0.852950083,92.5978724,51.5978724,,,,,
10,ACWO,2,3,1,2,0,59.6,0.019099852,0.946302518,93.5,0.946109746,93.49823041,52.49823041,,,,,
10,ACWO,2,1,1,2,0,59.5,0.018881218,0.946302518,93.5,0.946114134,93.4982707,52.4982707,,,,,
16,AMKE,3,2,0,2,0,59.3,0.018451429,0.053214501,68.5,0.049913204,67.94370898,26.94370898,,,,,
16,AMKE,3,2,0,2,0,59.2,0.018240217,0.056367659,69,0.053334862,68.51962354,27.51962354,,,,,
16,AMKE,3,3,0,2,0,59.3,0.018451429,0.061805909,69.8,0.058987415,69.39458741,28.39458741,,,,,
16,AMKE,3,1,1,2,0,59.4,0.018665086,0.062521587,69.9,0.059670457,69.49458733,28.49458733,,,,,
16,AMKE,3,2,0,2,0,59.3,0.018451429,0.062521587,69.9,0.05973687,69.50424932,28.50424932,,,,,
16,AMKE,3,1,0,2,0,59.3,0.018451429,0.064718731,70.2,0.062032725,69.83181721,28.83181721,,,,,
16,AMKE,3,2,1,2,0,59.5,0.018881218,0.066993088,70.5,0.064277317,70.14055486,29.14055486,,,,,
16,AMKE,1,3,0,2,0,59,0.017825019,0.074307046,71.4,0.072137409,71.14261088,30.14261088,,,,,
16,AMKE,1,3,1,2,0,59.5,0.018881218,0.076918356,71.7,0.074564959,71.43009574,30.43009574,,,,,
16,AMKE,1,1,0,2,0,59.1,0.018031423,0.077809029,71.8,0.075690903,71.5602738,30.5602738,,,,,
